id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue
2100,Hope Transportation Services Limited,Unit 82 Greenway Business Centre,,Greenway,CM19 5QE,Harlow,Essex,England,East of England,England,hopetransportation.co.uk,1279741888,Single Site,info@hopetransportation.co.uk,4/28/2021,4,Transportation,50,12000000
7489,AA Motoring Group,659 Lincoln Rd,,,PE1 3HA,Peterborough,Cambridgeshire,England,East of England,England,aamotoringgroupltd.co.uk,,Single Site,aamotoringgroupltd@gmail.com,4/27/2023,2,Used Car Dealerships,200,3000000
1648,Fender,Unit 1 Smeckley Wood Close,,Sheepbridge Trading Estate,S41 9PZ,Chesterfield,Derbyshire,England,East Midlands,,waxxunderwear.co.uk,1143030082,Branch,,,,Menswear,50,12000000
2062,Hilti Store Manchester,Unit 4 Lapwing Centre Industrial Estate,,4 Hagley Rd,M5 3EY,Salford,Lancashire,England,North West England,,hilti.to,3330000347,Branch,,,,Technology,20,5000000
7295,A. Lawrence Cleaning,"4,arden Close",,,WD23 1PL,Bushey,Hertfordshire,England,East of England,,alawrencecleaning.co.uk,,Branch,,,,Commercial Cleaning,50,12000000
5761,Chapter & Holmes,349 Electricity House,,Colston Avenue,BS1 4TB,Bristol,Avon,England,South West England,,,,Single Site,,08-02-2022,3,Coffee & Coffee Equipment,,5000000
921,Chapelle Jewellery,Unit 81 Swindon Designer Outlet Centre,,Kemble Dr,SN2 2DZ,Swindon,Wiltshire,England,South West England,,,1793531070,Branch,,,,Jewellery Store,,3000000
195,A A Afro Caribbean Foods,Unit 62-63 Wulfrun Centre,,Cleveland St,WV1 3HH,Wolverhampton,West Midlands,England,West Midlands,England,,1902422103,Single Site,,05-05-2023,2,Supermarket,50,
6025,Rexel Uk Ltd,Unit 3,,Brent,NW10 7UL,London,London,England,London,,rexel.co.uk,2089657788,Branch,,,,Electrical Wholesalers,50,3000000
3583,Roof Rite South wales,Unit 10 Timber Yard Industrial Estate,,E Moors Rd,CF24 5EE,Cardiff,South Glamorgan,Wales,Wales,,roofritesouthwales.co.uk,,Single Site,enquiries@roofritesouthwales.co.uk,,,Roofing Services & Contractors,20,12000000
812,Caddy Liners Direct,Unit 5b 5A Eden Business Centre,,S Stour Ave,TN23 7RS,Ashford,Kent,England,South East England,,caddylinersdirect.co.uk,1233220270,Single Site,,,,Compostable Packaging,100,
538,Barcellos Holdings Limited,Unit D Main Entrance Business Centre,,111 Ross Walk,LE4 5HH,Leicester,Leicestershire,England,East Midlands,,barcellos.co.uk,1162682488,Branch,,8/14/2001,24,IT,,12000000
1954,H E McMullan & Co Ltd,Unit 9 Tamar Commercial Centre,,Chater St,BT4 1BL,Belfast,County Antrim,Northern Ireland,Northern Ireland,Northern Ireland,hemcmullan.co.uk,2890448392,Single Site,,9/21/2006,19,Import & Export,20,8000000
1163,Creams Cafe Eastleigh,Unit L11 The Swan Centre Shopping Centre,,Wells Pl,SO50 5SF,Eastleigh,Hampshire,England,South East England,,creamscafe.com,2381783070,Branch,,,,Restaurant,,3000000
289,Advantage Healthcare,7th Floor Grosvenor House,,125 High St,CR0 9XP,Croydon,Surrey,England,South East England,,advantagehealthcare.com,2082561990,Branch,,10/21/2004,21,Home Health Care Services,,8000000
954,Chris Loder Welding Supplies,Unit 14 Peartree Business Centre,,Peartree,CO3 0JN,Colchester,Essex,England,East of England,,,1206548424,Single Site,,,,Welding Machine Sales And Service,200,
358,Alpa Autos,Unit 9 Oak And Ash Business Park,,Ash St,LE5 0DA,Leicester,Leicestershire,England,East Midlands,,,,Single Site,,,,Garage Mechanics/Vehicle Repairs & Services,20,
6875,288 Group,"1,aston Way",,,BH12 4FE,Poole,Dorset,England,South West England,United Kingdom,288group.com,3330032777,single site,,10/19/2015,10,B2B,50,8000000
5923,Polygon,Unit 10,,Bradley Stoke,BS32 4EU,Bristol,Avon,England,South West England,United Kingdom,polygongroup.com,,Branch,,10/28/2022,3,Fire & Water Damage Restoration Services,,12000000
2091,Home Instead St Albans,Unit 3 St Albans Enterprise Centre,,Long Spring,AL3 6EN,St Albans,Hertfordshire,England,East of England,,homeinstead.co.uk,1727895941,Branch,,,,Home Health Care Services,20,3000000
5855,IBJ Global Ventures Ltd,Unit 106,,Ardwick,M12 4AH,Manchester,Lancashire,England,North West England,,,1612735747,Single Site,,10/24/2024,1,IT,100,12000000
6026,Rowse Honey,Mor Avenue,,Moreton Avenue,OX10 9DE,Wallingford,Oxfordshire,England,South East England,,rowsehoney.co.uk,1491454100,Branch,,,,Agriculture Products,,12000000
6457,EE,23 Market Square,,,BD18 3QJ,Shipley,West Yorkshire,England,Yorkshire And The Humber,United Kingdom,,1274589355,Branch,,05-10-1989,36,Telecommunication Services,20,3000000
2492,Layden Solutions Ltd,Unit 3 Holroyd Business Park,,Carrbottom Rd,BD5 9BP,Bradford,West Yorkshire,England,Yorkshire And The Humber,,,1274921310,Single Site,,11-02-2017,8,Windows - Wood,100,5000000
645,Black Saucers,Unit 6 And 7 Powerhub Business Centre,,St Peter's St,ME16 0ST,Maidstone,Kent,England,South East England,United Kingdom,blacksaucers.com,1622910120,Single Site,,8/20/2021,4,Events Management,100,12000000
5292,Nando's Basingstoke - St Michael's,Unit 8 St Michael's Retail Park,,The Harrow Way,RG22 4AN,Basingstoke,Hampshire,England,South East England,,,1256364492,Single Site,,,,Restaurant,200,8000000
7641,Abrahams & Carlisle Ltd,Abrahams House,Newman St,,BD4 9NT,Bradford,West Yorkshire,England,Yorkshire And The Humber,England,abrahams-and-carlisle.com,1274651555,,,12-01-1977,48,Shopfitters,,8000000
7705,AC1 Construction Ltd,Health Aid House,Marlborough Hill,,HA1 1UD,Harrow,Middlesex,England,London,,ac1construction.co.uk,,Single Site,,12-01-2010,15,Builders/Construction Firm,100,
1874,Goldcrest,Unit 4 Trafalgar Business Park,,Broughton Ln,M8 9TZ,Manchester,Lancashire,England,North West England,,,1618394791,Branch,,01-07-2016,9,,20,
5829,Global Encountours Limited,31 Northolt,,Poppy Close,UB5 5TP,Northolt,Middlesex,England,London,England,,,Single Site,,6/13/2019,6,Tour Operators,20,3000000
5377,Pizza Hut Restaurants Banbury Cross Retail Park,Unit 15 Lockheed Close,,Banbury Cross Retail Park,OX16 1LX,Banbury,Oxfordshire,England,South East England,,,1295277422,Single Site,,,,Pizza Restaurants,,5000000
3978,Stay Central,Student Central University of London Housing Services,,2 Malet St,WC1E 7HY,London,London,England,London,,staycentral.london.ac.uk,2078636071,Single Site,,,,Bed & Breakfast,100,
7439,A1 Repair,Unit 7,Tilling Way,East Lane,HA9 7NQ,Wembley,Middlesex,England,London,,a1repairltd.co.uk,2089043220,single site,a1repairltd@yahoo.com,11/27/2018,7,Garage Mechanics/Vehicle Repairs & Services,50,8000000
2354,Just 4 Nails,Drakes Courtyard 285 Drakes Courtyard,,Kilburn High Rd,NW6 7JR,London,London,England,London,,,2031529121,Single Site,,,,Personal Care Product Manufacturing,100,3000000
3043,Northern Autobodies Paint & Car Body Repairs,Unit 20 Green Lane Workshops,,N Seaton Rd,NE63 0EF,Ashington,Northumberland,England,North East England,,,,Single Site,,,,Car Body Repairs,20,
6784,1874cc Limited,,,,WA4 3DS,Warrington,Cheshire,England,North West England,England,1874cc.uk,,Single Site,contact@1874cc.co.uk,1/31/2024,1,,,3000000
2075,Holland & Barrett - North Shields,Unit 17 1 The Beacon Shopping Centre,,Bedford St,NE29 6RX,North Shields,Tyne And Wear,England,North East England,,hollandandbarrett.com,3300582640,Branch,,10/26/1992,33,Health Foods & Products,,5000000
7293,A. Frizell Limited,,,,CA6 5TS,Carlisle,Cumbria,England,North West England,,afrizell.co.uk,,Single Site,,3/17/2003,22,Agricultural Services,20,
3723,ShaadiMubarak wedding services,Unit 15 Adrienne Business Centre,,Adrienne Ave,UB1 2FJ,Southall,Middlesex,England,London,England,,,Single Site,,9/23/2021,4,Wedding Supplies & Services,20,12000000
