id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue
2521,Chambers Ltd,788 Rosemary burgs,,Flat 3,L1 5FX,,Suffolk,,,England,leach.info,,Head Office,bfoster@smith.com,26-07-1980,37,,,7317662
2737,Hart-Thompson,78 Georgia vista,,Flat 5,B41 1JX,Petersmouth,Devon,England,Yorkshire And The Humber,England,,5812622408,Branch,ireed@russell.net,14-07-2000,,,200,10394413
2740,"Lloyd, Ward and Wood","Flat 62
Barrett brook",,Studio 7,CW5A 5QE,,Tyrone,,South East England,,willis-brooks.com,,Head Office,ifoster@fraser.com,11-03-2013,,Health Care,,10362037
2660,"Moore, Francis and Turner","Flat 5
Elaine extensions",,Flat 6,W6F 1ER,Phillipburgh,,,North West England,England,howard-weston.com,3604535887,,malcolmfox@johnson-dodd.org,,14,,,2774490
2411,"Goddard, Watkins and Poole",34 Jacob river,,,,Annettebury,Fife,England,West Midlands,,,8417205155,,matthewstorey@harrison.com,13-01-1993,,Automotive,,8306131
2678,"Walker, Parker and Dixon",697 Yvonne mill,,,,South Sarah,,,,England,howell.com,,,siangregory@davies-brown.com,06/19/2025,8,Construction,20,3759489
2626,Rowe Ltd,"Flat 74
Hughes path",,Studio 3,G2E 7YX,,Carmarthenshire,England,,,hussain.co.uk,8833005406,Branch,amywright@gill.net,04/15/1988,,IT,,
2513,Wright Group,76 Eric stream,,,W1C 9NG,North Andrea,Renfrewshire,England,East Midlands,England,charlton.biz,6364867098,Head Office,joycethomas@patel.org,27-01-2011,1,Marketing,20,
2859,Richardson-Bray,89 Clarke manors,,Flat 3,,South Sam,,,,England,williamson-atkins.com,5620537997,Branch,stuartlewis@russell.net,08-12-2008,25,Transportation,50,3151521
2136,Bennett-Wood,3 Hannah underpass,,Studio 2,MK2R 6WQ,New Alexander,Cardiganshire,England,South East England,England,mcdonald-hall.com,6827569144,Head Office,,,23,Health Care,100,1768029
2811,Campbell-Cook,"Studio 24f
Jones hollow",,Flat 56,,,,England,North West England,England,hammond-moore.net,7512622962,Single Site,annettejones@francis.com,07/15/1984,,,20,
2076,Roberts-Moore,167 Graeme mews,,Studio 1,G95 7RE,South Julianport,Perth and Kinross,England,,England,,6335045367,Head Office,,02/27/2006,,,20,
2636,Marsden Ltd,"Studio 5
Day point",,,G69 6YY,Johnsonstad,,England,South East England,England,richardson.org,,Head Office,,,30,Retail,,
2303,Hunter PLC,"Flat 24
Russell rapids",,,CM6 6XU,Port Sarahview,Glamorgan,England,East Midlands,England,,6019403948,,teresaanderson@townsend.biz,01/14/1978,16,Construction,200,4079382
2173,Cox Group,"Flat 43q
Dale port",,Studio 90,EN7M 3AR,,Lincolnshire,England,,,clarke.net,6165264171,Head Office,,13-12-1993,47,Marketing,,3600895
2899,Bates-Richards,50 Hilton lakes,,Flat 5,,North Leighmouth,Essex,England,London,England,,6071744497,,dmason@brown.com,04-06-1984,43,,,9278343
2280,Dixon-Reynolds,"Studio 78B
Harvey street",,Flat 30,,Port Susanton,Essex,England,,England,moore-allan.com,,Head Office,,02-08-2025,,Health Care,,4250925
2883,Singh-Shepherd,34 Steven isle,,Studio 97,CR0 3BP,Cunninghamshire,,England,Yorkshire And The Humber,England,harrison-holmes.biz,3047016643,,robinsonalan@davies.net,04/23/1996,1,,100,10336932
2761,Rogers LLC,0 Tracy way,,,,West Benjaminmouth,,England,Yorkshire And The Humber,England,rose.com,,,,24-11-1989,,Hospitality,200,10307594
2319,"Conway, Nicholls and Pugh","Studio 86
Edwards spring",,Studio 73N,,,Cambridgeshire,England,,England,hawkins.org,4897231260,Head Office,brucecollins@webster.com,27-08-1991,42,Health Care,20,
2549,Richardson and Sons,"Flat 70t
Alan greens",,Flat 17,,,Warwickshire,,South East England,England,bates-adams.co.uk,8948919763,Branch,,20-11-1991,,Transportation,20,2596473
2174,Hill and Sons,2 Keith loaf,,Studio 26,M0F 4BL,Kathleenborough,West Midlands,England,,England,ahmed.info,9503938527,,heather34@cook-johnson.com,,19,,,
