id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,company_name_is_valid,company_name_issue,company_email_is_valid,company_email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,is_duplicate
2100,Hope Transportation Services Limited,Unit 82 Greenway Business Centre,,Greenway,CM19 5QE,Harlow,Essex,England,East of England,England,hopetransportation.co.uk,1279741888.0,Single Site,info@hopetransportation.co.uk,4/28/2021,4.0,Transportation,50.0,12000000.0,median_imputed,0.5,True,,True,,1279741888,True,,True,,True,,False
7489,Aa Motoring Group,659 Lincoln Rd,,,PE1 3HA,Peterborough,Cambridgeshire,England,East of England,England,aamotoringgroupltd.co.uk,Not Provided,Single Site,aamotoringgroupltd@gmail.com,4/27/2023,2.0,Used Car Dealerships,200.0,3000000.0,median_imputed,0.5,True,,True,,,,Missing,True,,True,,False
1648,Fender,Unit 1 Smeckley Wood Close,,Sheepbridge Trading Estate,S41 9PZ,Chesterfield,Derbyshire,England,East Midlands,,waxxunderwear.co.uk,1143030082.0,Branch,,,,Menswear,50.0,12000000.0,median_imputed,0.5,True,,,Missing,1143030082,True,,True,,True,,False
2062,Hilti Store Manchester,Unit 4 Lapwing Centre Industrial Estate,,4 Hagley Rd,M5 3EY,Salford,Lancashire,England,North West England,,hilti.to,3330000347.0,Branch,,,,Technology,20.0,5000000.0,median_imputed,0.5,True,,,Missing,3330000347,True,,True,,True,,False
7295,A. Lawrence Cleaning,"4,arden Close",,,WD23 1PL,Bushey,Hertfordshire,England,East of England,,alawrencecleaning.co.uk,Not Provided,Branch,,,,Commercial Cleaning,50.0,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5761,Chapter & Holmes,349 Electricity House,,Colston Avenue,BS1 4TB,Bristol,Avon,England,South West England,,Unknown Domain,Not Provided,Single Site,,08-02-2022,3.0,Coffee& Coffee Equipment,Unknown,5000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
921,Chapelle Jewellery,Unit 81 Swindon Designer Outlet Centre,,Kemble Dr,SN2 2DZ,Swindon,Wiltshire,England,South West England,,Unknown Domain,1793531070.0,Branch,,,,jeweller Store,Unknown,3000000.0,median_imputed,0.5,True,,,Missing,1793531070,True,,True,,True,,False
195,A A Afro Caribbean Foods,Unit 62-63 Wulfrun Centre,,Cleveland St,WV1 3HH,Wolverhampton,West Midlands,England,West Midlands,England,Unknown Domain,1902422103.0,Single Site,,05-05-2023,2.0,Supermarket,50.0,7758133.791127254,model_imputed,0.6,True,,,Missing,1902422103,True,,True,,True,,False
6025,Rexel Uk Ltd,Unit 3,,Brent,NW10 7UL,London,London,England,London,,rexel.co.uk,2089657788.0,Branch,,,,Electrical Wholesalers,50.0,3000000.0,median_imputed,0.5,True,,,Missing,2089657788,True,,True,,True,,False
3583,Roof Rite South Wales,Unit 10 Timber Yard Industrial Estate,,E Moors Rd,CF24 5EE,Cardiff,South Glamorgan,Wales,Wales,,roofritesouthwales.co.uk,Not Provided,Single Site,enquiries@roofritesouthwales.co.uk,,,Roofing Services& Contractors,20.0,12000000.0,median_imputed,0.5,True,,True,,,,Missing,True,,True,,False
