id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,full_address,company_name_is_valid,company_name_issue,company_email_is_valid,company_email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,founded_date_is_valid,founded_date_issue,company_age_is_valid,company_age_issue,is_duplicate
2100,Hope Transportation Services Limited,Unit 82 Greenway Business Centre,,Greenway,CM19 5QE,Harlow,Essex,England,East of England,England,hopetransportation.co.uk,1279741888.0,Single Site,info@hopetransportation.co.uk,2021-04-28,4.0,Transportation,50.0,12000000.0,original,1.0,"Unit 82 Greenway Business Centre, , Greenway",True,,True,,1279741888,True,,True,,True,,True,,True,,False
7489,Aa Motoring Group,659 Lincoln Road,,,PE1 3HA,Peterborough,Cambridgeshire,England,East of England,England,aamotoringgroupltd.co.uk,Not Provided,Single Site,aamotoringgroupltd@gmail.com,2023-04-27,2.0,Used Car Dealerships,200.0,3000000.0,original,1.0,659 Lincoln Road,True,,True,,,,Missing,True,,True,,True,,True,,False
1648,Fender,Unit 1 Smeckley Wood Close,,Sheepbridge Trading Estate,S41 9PZ,Chesterfield,Derbyshire,England,East Midlands,Not Specified,waxxunderwear.co.uk,1143030082.0,Branch,Not Provided,Not Provided,Not Provided,Menswear,50.0,12000000.0,original,1.0,"Unit 1 Smeckley Wood Close, , Sheepbridge Trading Estate",True,,False,Invalid format,1143030082,True,,True,,True,,False,Invalid founded date,False,,False
2062,Hilti Store Manchester,Unit 4 Lapwing Centre Industrial Estate,,4 Hagley Road,M5 3EY,Salford,Lancashire,England,North West England,Not Specified,hilti.to,3330000347.0,Branch,Not Provided,Not Provided,Not Provided,Technology,20.0,5000000.0,original,1.0,"Unit 4 Lapwing Centre Industrial Estate, , 4 Hagley Road",True,,False,Invalid format,3330000347,True,,True,,True,,False,Invalid founded date,False,,False
7295,A. Lawrence Cleaning,"4,Arden Close",,,WD23 1PL,Bushey,Hertfordshire,England,East of England,Not Specified,alawrencecleaning.co.uk,Not Provided,Branch,Not Provided,Not Provided,Not Provided,Commercial Cleaning,50.0,12000000.0,original,1.0,"4,Arden Close",True,,False,Invalid format,,,Missing,True,,True,,False,Invalid founded date,False,,False
5761,Chapter & Holmes,349 Electricity House,,Colston Avenue,BS1 4TB,Bristol,Avon,England,South West England,Not Specified,Unknown Domain,Not Provided,Single Site,Not Provided,2022-02-08,3.0,Coffee& Coffee Equipment,Unknown,5000000.0,original,1.0,"349 Electricity House, , Colston Avenue",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
921,Chapelle Jewellery,Unit 81 Swindon Designer Outlet Centre,,Kemble Drive,SN2 2DZ,Swindon,Wiltshire,England,South West England,Not Specified,Unknown Domain,1793531070.0,Branch,Not Provided,Not Provided,Not Provided,jeweller Store,Unknown,3000000.0,original,1.0,"Unit 81 Swindon Designer Outlet Centre, , Kemble Drive",True,,False,Invalid format,1793531070,True,,True,,True,,False,Invalid founded date,False,,False
195,A A Afro Caribbean Foods,Unit 62-63 Wulfrun Centre,,Cleveland Street,WV1 3HH,Wolverhampton,West Midlands,England,West Midlands,England,Unknown Domain,1902422103.0,Single Site,Not Provided,2023-05-05,2.0,Supermarket,50.0,7758133.791127254,model_imputed,0.6,"Unit 62-63 Wulfrun Centre, , Cleveland Street",True,,False,Invalid format,1902422103,True,,True,,True,,True,,True,,False
6025,Rexel Uk Ltd,Unit 3,,Brent,NW10 7UL,London,London,England,London,Not Specified,rexel.co.uk,2089657788.0,Branch,Not Provided,Not Provided,Not Provided,Electrical Wholesalers,50.0,3000000.0,original,1.0,"Unit 3, , Brent",True,,False,Invalid format,2089657788,True,,True,,True,,False,Invalid founded date,False,,False
3583,Roof Rite South Wales,Unit 10 Timber Yard Industrial Estate,,E Moors Road,CF24 5EE,Cardiff,South Glamorgan,Wales,Wales,Not Specified,roofritesouthwales.co.uk,Not Provided,Single Site,enquiries@roofritesouthwales.co.uk,Not Provided,Not Provided,Roofing Services& Contractors,20.0,12000000.0,original,1.0,"Unit 10 Timber Yard Industrial Estate, , E Moors Road",True,,True,,,,Missing,True,,True,,False,Invalid founded date,False,,False
812,Caddy Liners Direct,Unit 5B 5A Eden Business Centre,,S Stour Avenue,TN23 7RS,Ashford,Kent,England,South East England,Not Specified,caddylinersdirect.co.uk,1233220270.0,Single Site,Not Provided,Not Provided,Not Provided,comfortable Packaging,100.0,7758134.889514141,model_imputed,0.6,"Unit 5B 5A Eden Business Centre, , S Stour Avenue",True,,False,Invalid format,1233220270,True,,True,,True,,False,Invalid founded date,False,,False
538,Barcellos Holdings Limited,Unit D Main Entrance Business Centre,,111 Ross Walk,LE4 5HH,Leicester,Leicestershire,England,East Midlands,Not Specified,barcellos.co.uk,1162682488.0,Branch,Not Provided,2001-08-14,24.0,IT,Unknown,12000000.0,original,1.0,"Unit D Main Entrance Business Centre, , 111 Ross Walk",True,,False,Invalid format,1162682488,True,,True,,True,,True,,True,,False
1954,H E Mcmullan & Co Ltd,Unit 9 Tamar Commercial Centre,,Chater Street,BT4 1BL,Belfast,County Antrim,Northern Ireland,Northern Ireland,Northern Ireland,hemcmullan.co.uk,2890448392.0,Single Site,Not Provided,2006-09-21,19.0,Import& Export,20.0,8000000.0,original,1.0,"Unit 9 Tamar Commercial Centre, , Chater Street",True,,False,Invalid format,2890448392,True,,True,,True,,True,,True,,False
1163,Creams Cafe Eastleigh,Unit L11 The Swan Centre Shopping Centre,,Wells Place,SO50 5SF,Eastleigh,Hampshire,England,South East England,Not Specified,creamscafe.com,2381783070.0,Branch,Not Provided,Not Provided,Not Provided,Restaurant,Unknown,3000000.0,original,1.0,"Unit L11 The Swan Centre Shopping Centre, , Wells Place",True,,False,Invalid format,2381783070,True,,True,,True,,False,Invalid founded date,False,,False
289,Advantage Healthcare,7Th Floor Grosvenor House,,125 High Street,CR0 9XP,Croydon,Surrey,England,South East England,Not Specified,advantagehealthcare.com,2082561990.0,Branch,Not Provided,2004-10-21,21.0,Home Health Care Services,Unknown,8000000.0,original,1.0,"7Th Floor Grosvenor House, , 125 High Street",True,,False,Invalid format,2082561990,True,,True,,True,,True,,True,,False
954,Chris Loder Welding Supplies,Unit 14 Peartree Business Centre,,Peartree,CO3 0JN,Colchester,Essex,England,East of England,Not Specified,Unknown Domain,1206548424.0,Single Site,Not Provided,Not Provided,Not Provided,Welding Machine Sales And Service,200.0,4418203.602538501,model_imputed,0.6,"Unit 14 Peartree Business Centre, , Peartree",True,,False,Invalid format,1206548424,True,,True,,True,,False,Invalid founded date,False,,False
358,Alpa Autos,Unit 9 Oak And Ash Business Park,,Ash Street,LE5 0DA,Leicester,Leicestershire,England,East Midlands,Not Specified,Unknown Domain,Not Provided,Single Site,Not Provided,Not Provided,Not Provided,Garage Mechanics/ Vehicle Repairs& Services,20.0,6344277.494782375,model_imputed,0.6,"Unit 9 Oak And Ash Business Park, , Ash Street",True,,False,Invalid format,,,Missing,True,,True,,False,Invalid founded date,False,,False
