id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,people_id,jobtitle,annual_revenue_source,annual_revenue_confidence,full_address,company_name_is_valid,company_name_issue,company_email_is_valid,company_email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,domain_is_valid,domain_issue,founded_date_is_valid,founded_date_issue,company_age_is_valid,company_age_issue,role_description,is_duplicate
2100.0,Hope Transportation Services Limited,Unit 82 Greenway Business Centre,,Greenway,CM19 5QE,Harlow,Essex,England,East of England,England,hopetransportation.co.uk,1279741888.0,Single Site,info@hopetransportation.co.uk,2021-04-28,4.0,Transportation,50.0,12000000.0,322.0,Managing Director,original,1.0,"Unit 82 Greenway Business Centre, , Greenway",True,,True,,1279741888,True,,True,,True,,True,,True,,True,,Leadership,False
7489.0,Aa Motoring Group,659 Lincoln Road,,,PE1 3HA,Peterborough,Cambridgeshire,England,East of England,England,aamotoringgroupltd.co.uk,Not Provided,Single Site,aamotoringgroupltd@gmail.com,2023-04-27,2.0,Used Car Dealerships,200.0,3000000.0,82.0,Director,original,1.0,659 Lincoln Road,True,,True,,,,Missing,True,,True,,True,,True,,True,,Leadership,False
1648.0,Fender,Unit 1 Smeckley Wood Close,,Sheepbridge Trading Estate,S41 9PZ,Chesterfield,Derbyshire,England,East Midlands,Not Specified,waxxunderwear.co.uk,1143030082.0,Branch,Not Provided,Not Provided,Unknown,Menswear,50.0,12000000.0,62.0,Warden,original,1.0,"Unit 1 Smeckley Wood Close, , Sheepbridge Trading Estate",True,,False,Invalid format,1143030082,True,,True,,True,,True,,False,Invalid founded date,False,,Operations,False
2062.0,Hilti Store Manchester,Unit 4 Lapwing Centre Industrial Estate,,4 Hagley Road,M5 3EY,Salford,Lancashire,England,North West England,Not Specified,hilti.to,3330000347.0,Branch,Not Provided,Not Provided,Unknown,Technology,20.0,5000000.0,410.0,Financial Solutions,original,1.0,"Unit 4 Lapwing Centre Industrial Estate, , 4 Hagley Road",True,,False,Invalid format,3330000347,True,,True,,True,,True,,False,Invalid founded date,False,,Finance,False
7295.0,A. Lawrence Cleaning,"4,Arden Close",,,WD23 1PL,Bushey,Hertfordshire,England,East of England,Not Specified,alawrencecleaning.co.uk,Not Provided,Branch,Not Provided,Not Provided,Unknown,Commercial Cleaning,50.0,12000000.0,409.0,Admin,original,1.0,"4,Arden Close",True,,False,Invalid format,,,Missing,True,,True,,True,,False,Invalid founded date,False,,Admin,False
5761.0,Chapter & Holmes,349 Electricity House,,Colston Avenue,BS1 4TB,Bristol,Avon,England,South West England,Not Specified,Unknown Domain,Not Provided,Single Site,Not Provided,Not Provided,3.0,Coffee& Coffee Equipment,Unknown,5000000.0,414.0,Jewellery Store,original,1.0,"349 Electricity House, , Colston Avenue",True,,False,Invalid format,,,Missing,True,,True,,False,Invalid format,False,Invalid founded date,False,,Admin,False
921.0,Chapelle Jewellery,Unit 81 Swindon Designer Outlet Centre,,Kemble Drive,SN2 2DZ,Swindon,Wiltshire,England,South West England,Not Specified,Unknown Domain,1793531070.0,Branch,Not Provided,Not Provided,Unknown,jeweller Store,Unknown,3000000.0,438.0,MD,original,1.0,"Unit 81 Swindon Designer Outlet Centre, , Kemble Drive",True,,False,Invalid format,1793531070,True,,True,,True,,False,Invalid format,False,Invalid founded date,False,,Leadership,False
195.0,A A Afro Caribbean Foods,Unit 62-63 Wulfrun Centre,,Cleveland Street,WV1 3HH,Wolverhampton,West Midlands,England,West Midlands,England,Unknown Domain,1902422103.0,Single Site,Not Provided,Not Provided,2.0,Supermarket,50.0,7758133.791127254,381.0,BA,model_imputed,0.6,"Unit 62-63 Wulfrun Centre, , Cleveland Street",True,,False,Invalid format,1902422103,True,,True,,True,,False,Invalid format,False,Invalid founded date,False,,Education,False
6025.0,Rexel Uk Ltd,Unit 3,,Brent,NW10 7UL,London,London,England,London,Not Specified,rexel.co.uk,2089657788.0,Branch,Not Provided,Not Provided,Unknown,Electrical Wholesalers,50.0,3000000.0,288.0,Debt Collection,original,1.0,"Unit 3, , Brent",True,,False,Invalid format,2089657788,True,,True,,True,,True,,False,Invalid founded date,False,,Admin,False
3583.0,Roof Rite South Wales,Unit 10 Timber Yard Industrial Estate,,E Moors Road,CF24 5EE,Cardiff,South Glamorgan,Wales,Wales,Not Specified,roofritesouthwales.co.uk,Not Provided,Single Site,enquiries@roofritesouthwales.co.uk,Not Provided,Unknown,Roofing Services& Contractors,20.0,12000000.0,154.0,Director Of Operations,original,1.0,"Unit 10 Timber Yard Industrial Estate, , E Moors Road",True,,True,,,,Missing,True,,True,,True,,False,Invalid founded date,False,,Operations,False
