id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,full_address,company_name_status,company_name_issue,industry_status,industry_issue,head_office_country_status,head_office_country_issue,company_age_status,company_age_issue,domain_status,domain_issue
2521,Chambers Ltd,788 Rosemary Burgs,,Flat 3,L1 5FX,,Suffolk,,,England,leach.info,Not Provided,Head Office,bfoster@smith.com,1980-07-26,37.0,Unknown Industry,Unknown,7317662.0,original,1.0,"788 Rosemary Burgs, , Flat 3",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2737,Hart-Thompson,78 Georgia Vista,,Flat 5,B41 1JX,Petersmouth,Devon,England,Yorkshire And The Humber,England,Unknown Domain,5812622408.0,Branch,ireed@russell.net,2000-07-14,25.0,Unknown Industry,200.0,10394413.0,original,1.0,"78 Georgia Vista, , Flat 5",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2740,"Lloyd, Ward and Wood","Flat 62
Barrett Brook",,Studio 7,CW5A 5QE,,Tyrone,,South East England,Not Specified,willis-brooks.com,Not Provided,Head Office,ifoster@fraser.com,2013-11-03,12.0,Health Care,Unknown,10362037.0,original,1.0,"Flat 62
Barrett Brook, , Studio 7",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2660,"Moore, Francis and Turner","Flat 5
Elaine Extensions",,Flat 6,W6F 1ER,Phillipburgh,,,North West England,England,howard-weston.com,3604535887.0,,malcolmfox@johnson-dodd.org,,14.0,Unknown Industry,Unknown,2774490.0,original,1.0,"Flat 5
Elaine Extensions, , Flat 6",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2411,"Goddard, Watkins and Poole",34 Jacob River,,,,Annettebury,Fife,England,West Midlands,Not Specified,Unknown Domain,8417205155.0,,matthewstorey@harrison.com,1993-01-13,32.0,Automotive,Unknown,8306131.0,original,1.0,34 Jacob River,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2678,"Walker, Parker and Dixon",697 Yvonne Mill,,,,South Sarah,,,,England,howell.com,Not Provided,,siangregory@davies-brown.com,,8.0,Construction,20.0,3759489.0,original,1.0,697 Yvonne Mill,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2626,Rowe Ltd,"Flat 74
Hughes Path",,Studio 3,G2E 7YX,,Carmarthenshire,England,,Not Specified,hussain.co.uk,8833005406.0,Branch,amywright@gill.net,,Unknown,IT,Unknown,7138467.5,median_imputed,0.5,"Flat 74
Hughes Path, , Studio 3",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,INVALID,MISSING_AGE,VALID,VALID_DOMAIN
2513,Wright Group,76 Eric Stream,,,W1C 9NG,North Andrea,Renfrewshire,England,East Midlands,England,charlton.biz,6364867098.0,Head Office,joycethomas@patel.org,2011-01-27,1.0,Marketing,20.0,4692196.287964586,model_imputed,0.6,76 Eric Stream,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2859,Richardson-Bray,89 Clarke Manors,,Flat 3,,South Sam,,,,England,williamson-atkins.com,5620537997.0,Branch,stuartlewis@russell.net,2008-08-12,25.0,Transportation,50.0,3151521.0,original,1.0,"89 Clarke Manors, , Flat 3",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2136,Bennett-Wood,3 Hannah Underpass,,Studio 2,MK2R 6WQ,New Alexander,Cardiganshire,England,South East England,England,mcdonald-hall.com,6827569144.0,Head Office,Not Provided,,23.0,Health Care,100.0,1768029.0,original,1.0,"3 Hannah Underpass, , Studio 2",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2811,Campbell-Cook,"Studio 24F
Jones Hollow",,Flat 56,,,,England,North West England,England,hammond-moore.net,7512622962.0,Single Site,annettejones@francis.com,,Unknown,Unknown Industry,20.0,5717596.689005024,median_imputed,0.5,"Studio 24F
Jones Hollow, , Flat 56",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,INVALID,MISSING_AGE,VALID,VALID_DOMAIN
2076,Roberts-Moore,167 Graeme Mews,,Studio 1,G95 7RE,South Julianport,Perth and Kinross,England,,England,Unknown Domain,6335045367.0,Head Office,Not Provided,,Unknown,Unknown Industry,20.0,5717596.689005024,median_imputed,0.5,"167 Graeme Mews, , Studio 1",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,INVALID,MISSING_AGE,INVALID,MISSING_DOMAIN
2636,Marsden Ltd,"Studio 5
Day Point",,,G69 6YY,Johnsonstad,,England,South East England,England,richardson.org,Not Provided,Head Office,Not Provided,,30.0,Retail,Unknown,6198005.0,median_imputed,0.5,"Studio 5
Day Point",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2303,Hunter PLC,"Flat 24
Russell Rapids",,,CM6 6XU,Port Sarahview,Glamorgan,England,East Midlands,England,Unknown Domain,6019403948.0,,teresaanderson@townsend.biz,,16.0,Construction,200.0,4079382.0,original,1.0,"Flat 24
Russell Rapids",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2173,Cox Group,"Flat 43Q
Dale Port",,Studio 90,EN7M 3AR,,Lincolnshire,England,,Not Specified,clarke.net,6165264171.0,Head Office,Not Provided,1993-12-13,47.0,Marketing,Unknown,3600895.0,original,1.0,"Flat 43Q
Dale Port, , Studio 90",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2899,Bates-Richards,50 Hilton Lakes,,Flat 5,,North Leighmouth,Essex,England,London,England,Unknown Domain,6071744497.0,,dmason@brown.com,1984-04-06,43.0,Unknown Industry,Unknown,9278343.0,original,1.0,"50 Hilton Lakes, , Flat 5",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2280,Dixon-Reynolds,"Studio 78B
Harvey Street",,Flat 30,,Port Susanton,Essex,England,,England,moore-allan.com,Not Provided,Head Office,Not Provided,2025-02-08,0.0,Health Care,Unknown,4250925.0,original,1.0,"Studio 78B
Harvey Street, , Flat 30",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2883,Singh-Shepherd,34 Steven Isle,,Studio 97,CR0 3BP,Cunninghamshire,,England,Yorkshire And The Humber,England,harrison-holmes.biz,3047016643.0,,robinsonalan@davies.net,,1.0,Unknown Industry,100.0,10336932.0,original,1.0,"34 Steven Isle, , Studio 97",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2761,Rogers LLC,0 Tracy Way,,,,West Benjaminmouth,,England,Yorkshire And The Humber,England,rose.com,Not Provided,,Not Provided,1989-11-24,36.0,Hospitality,200.0,10307594.0,original,1.0,0 Tracy Way,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2319,"Conway, Nicholls and Pugh","Studio 86
Edwards Spring",,Studio 73N,,,Cambridgeshire,England,,England,hawkins.org,4897231260.0,Head Office,brucecollins@webster.com,1991-08-27,42.0,Health Care,20.0,5683056.861485148,model_imputed,0.6,"Studio 86
Edwards Spring, , Studio 73N",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2549,Richardson and Sons,"Flat 70T
Alan Greens",,Flat 17,,,Warwickshire,,South East England,England,bates-adams.co.uk,8948919763.0,Branch,Not Provided,1991-11-20,34.0,Transportation,20.0,2596473.0,original,1.0,"Flat 70T
Alan Greens, , Flat 17",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2174,Hill and Sons,2 Keith Loaf,,Studio 26,M0F 4BL,Kathleenborough,West Midlands,England,,England,ahmed.info,9503938527.0,,heather34@cook-johnson.com,,19.0,Unknown Industry,Unknown,6195935.0,global_median,0.4,"2 Keith Loaf, , Studio 26",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2371,Price-Singh,4 Sanderson Grove,,Studio 6,SS9 6JG,New Eleanorchester,Lancashire,,,Not Specified,bird-saunders.org,Not Provided,Single Site,udavies@lewis.com,1980-06-04,45.0,IT,200.0,9192437.0,original,1.0,"4 Sanderson Grove, , Studio 6",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2527,"Garner, Barber and Begum",6 Foster Union,,,,Carolyntown,Stirling,,Yorkshire And The Humber,England,Unknown Domain,4411878663.0,Single Site,Not Provided,,42.0,Unknown Industry,200.0,6758617.633332491,median_imputed,0.5,6 Foster Union,VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2210,"Clarke, Williams and Johnson","Studio 26
Paula Terrace",,,G3 4PR,,,,East of England,Not Specified,charlton-wright.net,6930211791.0,Single Site,schandler@morley-coleman.com,,Unknown,Marketing,50.0,5484383.078470862,median_imputed,0.5,"Studio 26
Paula Terrace",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,INVALID,MISSING_AGE,VALID,VALID_DOMAIN
2235,"Burns, Atkinson and Smith",81 Burton Estates,,Studio 97Z,,South Adrian,,England,South East England,England,Unknown Domain,9384885140.0,Head Office,mannkimberley@davies.biz,1982-07-12,43.0,Construction,Unknown,4713925.0,median_imputed,0.5,"81 Burton Estates, , Studio 97Z",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2101,"Smith, Jones and Hunt",02 Smith Mount,,Flat 84Q,,Lake Kerry,Nottinghamshire,,,England,crawford.co.uk,Not Provided,Head Office,bryan15@barber.com,,16.0,Unknown Industry,20.0,1202450.0,original,1.0,"02 Smith Mount, , Flat 84Q",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2297,Evans-Butler,888 Kirk Haven,,Flat 1,N7 0GA,New Denisefurt,,England,South East England,England,dodd.com,Not Provided,Head Office,Not Provided,2018-10-07,7.0,Unknown Industry,20.0,6469592.0,original,1.0,"888 Kirk Haven, , Flat 1",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2902,Chapman Ltd,"Flat 8
Smith Trail",,Studio 40,N0T 8XB,Fergusonmouth,Cornwall,England,East Midlands,England,turner.org,9461655445.0,,Not Provided,2024-11-06,39.0,Manufacturing,Unknown,7215482.0,original,1.0,"Flat 8
Smith Trail, , Studio 40",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2623,Talbot Ltd,"Flat 67H
Martin Via",,Studio 98,RM9 0PA,Paulport,,,,England,Unknown Domain,4670516286.0,Single Site,bradley46@birch.org,1981-08-25,18.0,Marketing,50.0,7578422.0,original,1.0,"Flat 67H
Martin Via, , Studio 98",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2346,Wright Inc,1 Jane Locks,,,,,East Sussex,England,,Not Specified,Unknown Domain,Not Provided,Single Site,swright@campbell-stevens.com,,Unknown,Transportation,20.0,7240626.658755358,model_imputed,0.6,1 Jane Locks,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,INVALID,MISSING_AGE,INVALID,MISSING_DOMAIN
2139,"Smith, Taylor and Barton","Studio 5
Davis Rue",,,G9 2RR,East Suzanne,,England,East Midlands,Not Specified,ross-jenkins.info,1374011348.0,Head Office,dawngould@hancock.com,2017-12-02,8.0,Manufacturing,Unknown,5717596.689005024,median_imputed,0.5,"Studio 5
Davis Rue",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2621,"Jones, Duffy and Hughes",44 Ann Manors,,,W2 7XA,,Aberdeenshire,England,East of England,England,thomas-taylor.com,7280549120.0,,margaret30@kelly-fisher.org,,39.0,Marketing,50.0,2400910.0,original,1.0,44 Ann Manors,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2499,Townsend-Robinson,"Studio 75Z
Judith Cove",,,CB0 5ZT,Port Henryland,,,West Midlands,England,Unknown Domain,7820111501.0,Head Office,Not Provided,,Unknown,Unknown Industry,200.0,3476564.0,original,1.0,"Studio 75Z
Judith Cove",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,INVALID,MISSING_AGE,INVALID,MISSING_DOMAIN
2370,Long LLC,"Studio 30
Graeme Lakes",,,,,,England,,Not Specified,Unknown Domain,Not Provided,Head Office,juliedonnelly@king.net,,Unknown,Unknown Industry,50.0,5831713.0,original,1.0,"Studio 30
Graeme Lakes",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,INVALID,MISSING_COUNTRY,INVALID,MISSING_AGE,INVALID,MISSING_DOMAIN
2198,Hill-Lawrence,11 Nicola Mall,,Flat 53,,West Lynnefort,North Yorkshire,,,Not Specified,bowen.com,4528260239.0,,Not Provided,1985-08-08,36.0,Construction,Unknown,5752443.0,original,1.0,"11 Nicola Mall, , Flat 53",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2687,Davies Inc,"Studio 24
Kimberley Forges",,Flat 03D,DD9E 7TD,Janicemouth,Highland,England,,England,whitehead-richards.com,1256729028.0,,tayloranna@gray-wilson.net,,41.0,Unknown Industry,Unknown,6195935.0,global_median,0.4,"Studio 24
Kimberley Forges, , Flat 03D",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2584,Barry LLC,8 Leslie Loop,,Flat 62,,,Suffolk,England,West Midlands,England,ashton.org,Not Provided,Single Site,nprice@hunt.info,1982-12-15,47.0,Hospitality,20.0,10486196.0,original,1.0,"8 Leslie Loop, , Flat 62",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2901,"Austin, Hayes and Kirk",504 Taylor Path,,Flat 0,G7 2PW,Dorothystad,,,Yorkshire And The Humber,England,wright.net,Not Provided,Single Site,kathryn94@north.com,,4.0,Unknown Industry,Unknown,5246770.0,original,1.0,"504 Taylor Path, , Flat 0",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2059,"Vincent, Smith and Shaw","Flat 93U
Adam Burg",,,PR4 8JL,Williamsmouth,,England,East Midlands,England,Unknown Domain,5757180516.0,,Not Provided,,46.0,Transportation,100.0,2089496.0,original,1.0,"Flat 93U
Adam Burg",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2328,Taylor-Wilson,7 Allen Grove,,,CT7 3YG,,Hampshire,,,England,anderson-khan.com,2234805042.0,,yatesbenjamin@daniels.net,1991-01-27,34.0,Manufacturing,Unknown,8358018.0,original,1.0,7 Allen Grove,INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2096,"West, Glover and Smith","Studio 6
Roy Mews",,Studio 04T,CW4 5JD,New Dominicbury,,England,,Not Specified,brown.com,3548820395.0,Head Office,Not Provided,2010-01-11,4.0,Retail,Unknown,6403886.0,original,1.0,"Studio 6
Roy Mews, , Studio 04T",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2312,Newton LLC,39 Parker Forest,,Studio 35,S4C 4GT,,Merionethshire,England,,England,khan-slater.com,1697957616.0,Head Office,joanna60@chapman-johnson.com,,13.0,Automotive,Unknown,2461125.0,original,1.0,"39 Parker Forest, , Studio 35",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
